Gene ARP4 Amikacin Amp Antimycin Ascididemin_Nat_prod BZA CCCP CPZ Cap Cephalexin Cerulenin Clofazimine Clotrimazole DCCD DIPED DNP DTNB DTT Deferoxamine Dipyridyl EMB Econazole Eta GSNO GSNO_CFZ GSNO_CPZ GSNO_KCN GSNO_menadione H2O2 INH KCN Levo Min_med__succinate_ Mtm NRP_1 NaN3 Nam Nigericin Novobiocin Oflox PA_1 PA_21 PA824 PZA Palmitate Procept_6776 Procept_6778 Rif Rifp Rox SM Succinate TLM TRC TRZ Tet UV Valinomycin Verapamil ZnSO4 menadione mercaptoethanol methoxatin
Rv0022c 0 -0.119851164 -0.791755786 -1.224047365 0.477794969 0.074585988 1.420329154 -0.053670553 -0.035674301 -0.300273493 0.214636813 0 -0.183950972 0 0.315242116 0 1.772081943 -1.84246572 0.074793978 0.381624995 0.099600628 2.001281009 -0.3055594 2.265612646 0 0.457758285 1.328646302 0.469526407 -0.013782233 -0.448860692 0 0.021405308 0 -0.106725115 1.962467158 0 -0.285621646 -2.888755946 0 -0.196812622 0.184192152 -0.864393321 -0.546467752 -0.337015673 0 -0.803034441 0.140645611 0.439044127 0.249450121 0.253976614 -0.499820462 0 -0.075444076 0.761044542 0 0.626093186 -0.079830206 0.271284377 1.318569982 0 0.606163832 1.375944963 2.661537584
Rv0023 -1.802490928 -0.570750767 -0.266137432 -0.081817881 -0.244343461 0.894455631 -1.145352738 -0.613421135 -0.336533755 0.438230085 0.00486761 -0.092750071 0.020728016 1.186410617 0.25226859 1.684744469 0.486263948 -0.667008135 0.411627267 -0.063302732 -0.608822165 -0.016948031 0.094665703 1.288495317 -1.249226275 -1.404017592 0.319349819 0.144977506 -0.581167904 0.447079234 1.413450187 -0.065292793 -1.817151128 0.028825938 -0.502888202 -0.072192547 0.493256601 -0.02751414 0.653510494 0.398013769 0.678203737 0.310397016 0.876092292 0.827556157 0.023245842 0.927401028 0.632626491 -0.235790165 -0.125174018 -0.818702758 -0.312647554 0.52758785 -0.204912377 0.606630709 -0.309553722 -0.035388435 -0.060717898 0.459859298 -0.390167251 0.439788661 0.324441354 0.054450243 0.259480372
Rv0024 0 -1.682133084 0.345188517 0.158476901 -0.079915888 0.833090821 0.733796598 0.1767609 -1.315872552 -0.45433312 0.500885607 0 0.162906356 0 -0.228835195 0 0.370003685 1.093399471 0.058163311 -0.557736949 -0.752355074 -0.175190928 -0.74176888 1.360170641 0 0.327246499 1.968258472 0.634962599 -0.197415985 -0.241556643 0 -0.202744448 0 0.111925357 0.809199652 -1.075347647 0.377308274 0.862022066 0 -0.372558744 0.187485375 -0.313288709 1.936585257 0.178913407 0 1.867553211 1.104380815 -0.056908427 -0.424227412 -1.95452687 -0.402927642 0 -0.422661646 1.079064051 0 -0.428876395 -0.169853722 0.151917549 1.084254081 0 0.885119596 1.047179352 1.691293124
Rv0025 0.135457611 0.040640538 -0.277315073 -0.249047852 -0.608838289 1.35537876 -0.924679401 0.085127299 0.525654818 0.929629768 0.204808588 1.830826056 -0.012421243 1.768037908 -0.393605067 0.397808645 -0.14752252 -1.513535105 0.259755849 -0.329197472 -0.719792886 0.605254416 0.346550017 0.739208286 0.391389265 1.021160399 0.979305217 0.440767101 -1.036922234 0.77654278 -0.477366397 0.155977028 0.829052397 -0.186724841 -0.875856463 1.746705247 0.393981512 1.111190208 0.305807606 0.084115903 -0.156726496 -0.316939601 0.117863126 0.249229345 1.23976436 0.124389741 0.818959329 -0.54744328 -0.542913904 1.11070353 -0.632183434 0 -0.178828463 0.491995975 0 0.176638297 -0.522177307 -0.855497425 -0.272365462 0 0.149946453 0.015461717 -0.809252201
Rv0026 -1.323070179 0.40079697 -0.159448054 0.164155938 -0.812691579 -0.154710561 -1.893249295 -0.850942555 1.338095286 -0.081902076 0.604408126 -1.823210743 -0.13887966 -0.681297485 0.050113273 0.730901934 0.187913827 -1.517712575 0.373533114 -0.665252319 -0.051309852 -0.594401372 0.221472905 0.529505436 -0.767485022 -1.402673039 -1.459208062 -0.822857408 0.054034096 -0.234930266 0.230739099 0.09388574 1.893328635 0.4943469 0.959164204 -1.341252127 0.328886826 1.722540536 0.473473213 0.129982473 -0.833174035 -1.081008477 -1.020241634 0.34152517 -0.12566422 -0.797370058 -0.482281377 0.121564511 -0.385658829 2.330764407 0.744564243 0.31284628 -0.404581842 0.058848124 -0.835732242 1.29288417 0.388362141 1.069814732 0.282896631 -1.261723745 -0.201401949 -0.043831159 0.845510919
Rv0027 0 1.229445214 -0.484840002 0.456689975 0.080688873 -0.265984017 -0.951479338 0.398867831 1.22167884 -0.29339679 0.239391403 0 0.386322595 0 -0.397967559 0.463264968 -0.766938241 1.491066303 -0.357022592 -0.310934212 -0.284264425 0.640347767 0.169743058 -0.00255228 0 0.442423641 3.614298245 -0.873917606 -0.342312834 -0.248622657 0 0.301607035 0.03908784 -0.683497032 1.018192229 0 -0.147853855 -0.631501575 1.522056737 0.593093305 0.072725636 0.252533065 -0.681350823 0.102505711 0 -0.344118002 -0.849868645 -1.166228141 -0.11116239 1.261330553 0.146245935 0 0.207355645 0.735345581 0 -0.228426668 -0.777653894 0.451922935 -3.273151776 0 -0.54100152 0.701358196 3.069950712
Rv0028 -0.157634408 -0.244553509 -0.23707904 -0.27202206 -0.414384312 0.493411392 -0.966296776 -0.106833173 -0.397590815 0.356781041 -0.316485736 0.877540974 0.285691625 -0.41805368 -0.482037986 0 -0.602662307 -1.416823825 -0.264894815 -0.197951297 -0.37654304 -0.504985552 -0.170686476 -0.863914408 0 -0.536072846 0.120106828 -0.217975255 0.128073436 -0.317494057 -0.637125273 -0.229524578 -0.432701306 -0.221639958 -0.425753474 0 0.43881019 -0.880649511 0.21860508 -0.206844062 -0.62483184 -0.399375635 0.188062922 0.594206605 0.214503295 -0.167092491 -0.18470211 -1.304089841 -0.675886935 0.193046726 -0.029913718 0.011851015 -0.191914777 3.267244178 -0.531659429 -0.0981228 -0.147357587 -0.688394891 -1.349666021 0 -1.68542156 -1.437209008 0.438501704
Rv0029 0 -0.140177176 -0.706963285 0.361456652 -0.029559873 1.143881888 -0.810448624 0.182373653 -0.425393493 -0.481032112 -0.397453725 0 -0.094770619 0 0.217675755 0 0.63426125 -1.011549433 -0.132380513 0.163329785 -0.61636687 0.040799546 -1.196060283 0 0 0.42070504 -0.713546385 0.674139478 0.165931957 -1.612460142 0 0.448050831 0 0.249556856 0 0 0.550573228 0.408561993 0 0.22919102 0.172459842 0.024751783 -1.743262595 -0.034363452 0 -0.259262035 -0.536244676 0.248477635 0.899523923 -0.710843162 -0.916671697 0 0.069335473 0.065600223 0 -0.86258155 0.313302683 -0.096497246 1.001478134 0 0.04415764 0 2.932915625
Rv0030 -0.866207003 0.434053688 -0.215376088 -0.306757427 0.15954349 0.696938852 -2.379235329 -0.893067517 0.080609261 -0.170464037 0.058426269 -0.881577706 -0.582307527 -0.877703567 0.277386341 -2.223566837 0.059033723 -1.218327188 0.253106915 0.31746118 -0.196136699 -0.401415158 0.445420525 -0.800973691 -1.277475315 -0.151947753 -1.766258494 -1.111872326 0.442871813 0.336578155 -1.578258543 0.297867732 2.554564415 0.391647981 0.337187364 -0.655972566 0.782867239 0.434838005 0.992449646 -0.02293647 -0.660404079 -0.561677142 -1.416804319 0.582006852 -0.128375936 -1.014496854 -0.136828706 0.822055111 0.006389171 1.155540154 -0.698536532 -0.023395802 -0.301232482 -0.111944981 -0.898409778 0.556308539 0.668172341 0.318752299 0.233904774 0 -1.329872355 -0.495638614 -1.008681951
Rv0031 1.222925393 0.994161954 -0.71060076 -0.242979693 -0.476929642 0.600112893 2.413089485 0.380099861 0.544139707 -0.121094235 -0.346006727 0.334135443 0.314983096 1.425997949 -1.347654454 1.144643024 0.127564384 0.77271861 -0.757102969 -0.753121108 -0.843821942 0.211895706 -0.562180567 -0.466300551 0.084394637 0.319362718 0.473772417 0.436145292 -0.024307924 -0.545061843 -0.841700227 0.806076846 0.848610927 -0.746674727 0.671296573 0.12378503 0.390440929 -0.18328821 0.769112585 0.467949409 -0.775997131 -0.908721887 -0.750025586 -0.01432562 0.275414679 -0.37744922 -0.373487773 0.934344074 0.895821388 1.126337731 -0.164225266 -0.227008231 0.168011778 0.924983739 0.997275277 0.788730939 -0.466802274 0.269574365 0.634802917 -1.32400722 -0.349385942 0.576603792 0.448366833
Rv0032 -0.883940881 -0.078088374 0.074356533 0.403370762 -0.069447555 1.027964592 -2.149800389 -0.643829042 -0.172583182 0.137571345 0.150626011 -1.228747043 -0.325406239 -2.079407485 0.316525786 -0.700525605 0.149119068 -1.558750631 0.438176261 -0.206043605 0.106305873 -0.551982834 0.032634037 0.387789189 -0.547251909 -0.214256052 -1.568290849 -0.385459886 0.548572597 0.031246627 -1.776858383 0.402342117 1.812675713 0.788761157 -1.309703677 -0.195109486 0.826565002 0.91924408 -0.705309334 -0.490231473 0.265987129 0.228021887 -0.879646254 0.612845087 0.9636334 -1.358402361 -0.770967616 0.732729588 0.319624859 -0.114473986 -0.164557671 0.846523501 -0.137835914 -0.406624686 -1.703697013 -1.031821106 0.53439011 -0.498601004 -0.077279879 -0.799310649 -0.371742872 -0.050734378 0.241463535
Rv0033 -1.78305616 0.844512439 0.20279693 0.404553132 -0.482033896 0.658719711 -1.60359911 -0.268070264 0.363856435 0.676504353 0.106476241 -0.780034759 0.01581382 -0.931053748 0.427509291 -1.369550826 0.547118667 -1.584026233 0.586519664 -0.0794119 0.179287102 0.104965801 0.459680581 0.525159538 0.099271439 -0.567136437 -0.647129143 -0.888743289 0.062434206 0.675823206 -1.758496966 0.579442053 1.184916111 0.247946615 -1.478401351 0.049911822 0.994796859 0.448552422 -0.530252947 0.715909598 -0.195278067 0.343537845 -1.737626308 0.704164788 1.028154095 -2.138628764 -0.454208924 0.967692795 0.476689049 0.137940084 0.232858492 0.790570873 -0.053070228 -0.226921375 -1.616916183 -0.130615534 0.329986226 -1.764128384 -0.245267786 0 -1.87105663 0.228742797 0.644128699
